,location,total_sqft,bath,price,BHK,price_per_sqft
0, Devarabeesana Halli,1672.0,3.0,150.0,3,8971.291866028709
1, Devarabeesana Halli,1750.0,3.0,149.0,3,8514.285714285714
2, Devarabeesana Halli,1750.0,3.0,150.0,3,8571.42857142857
4, Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
5, Devarachikkanahalli,1200.0,2.0,83.0,2,6916.666666666667
6, Devarachikkanahalli,1170.0,2.0,40.0,2,3418.803418803419
7, Devarachikkanahalli,1425.0,2.0,65.0,3,4561.403508771929
8, Devarachikkanahalli,947.0,2.0,43.0,2,4540.654699049631
9, Devarachikkanahalli,1130.0,2.0,36.0,2,3185.8407079646017
10, Devarachikkanahalli,1417.0,2.0,76.0,3,5363.443895553987
11, Devarachikkanahalli,1230.0,2.0,58.0,2,4715.447154471544
12, Devarachikkanahalli,1705.0,3.0,75.0,3,4398.826979472141
13, Devarachikkanahalli,1116.0,2.0,47.0,2,4211.469534050179
14, Devarachikkanahalli,991.0,2.0,40.0,2,4036.326942482341
16, Electronic City,550.0,1.0,27.0,1,4909.090909090909
17, Mysore Highway,1450.0,2.0,70.0,3,4827.586206896552
18, Mysore Highway,700.0,1.0,25.5,1,3642.8571428571427
19, Rachenahalli,440.0,1.0,28.0,1,6363.636363636364
20, Thanisandra,510.0,1.0,25.25,1,4950.980392156863
21, Thanisandra,510.0,1.0,25.25,1,4950.980392156863
22, south,2400.0,2.0,480.0,3,20000.0
23,1st Block BEL Layout,1540.0,3.0,85.0,3,5519.480519480519
24,1st Block HBR Layout,600.0,1.0,45.0,1,7500.0
25,1st Block HBR Layout,3150.0,4.0,150.0,4,4761.9047619047615
26,1st Block HRBR Layout,2300.0,3.0,80.0,3,3478.2608695652175
27,1st Block HRBR Layout,1250.0,2.0,67.0,2,5360.0
28,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
29,1st Block Jayanagar,1630.0,3.0,194.0,3,11901.840490797545
30,1st Block Jayanagar,1875.0,2.0,235.0,3,12533.333333333334
31,1st Block Jayanagar,1200.0,2.0,130.0,3,10833.333333333334
32,1st Block Jayanagar,1235.0,2.0,148.0,2,11983.805668016194
33,1st Block Jayanagar,2750.0,4.0,413.0,4,15018.181818181818
34,1st Block Jayanagar,2450.0,4.0,368.0,4,15020.408163265307
35,1st Block Koramangala,1415.0,2.0,110.0,2,7773.851590106007
36,1st Block Koramangala,860.0,2.0,65.5,2,7616.279069767442
37,1st Block Koramangala,3000.0,3.0,300.0,4,10000.0
38,1st Block Koramangala,2350.0,3.0,210.0,3,8936.170212765957
39,1st Block Koramangala,3000.0,5.0,500.0,4,16666.666666666668
41,1st Phase JP Nagar,1875.0,3.0,167.0,3,8906.666666666666
42,1st Phase JP Nagar,1500.0,5.0,85.0,5,5666.666666666667
43,1st Phase JP Nagar,2065.0,4.0,210.0,3,10169.49152542373
45,1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.634774162214
46,1st Phase JP Nagar,1394.0,2.0,100.0,2,7173.601147776184
47,1st Phase JP Nagar,1077.0,2.0,93.0,2,8635.097493036212
48,1st Phase JP Nagar,1566.0,2.0,180.0,2,11494.252873563219
49,1st Phase JP Nagar,840.0,2.0,50.0,1,5952.380952380952
50,1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.993710691824
51,1st Phase JP Nagar,2180.0,3.0,210.0,3,9633.02752293578
52,1st Phase JP Nagar,1180.0,2.0,88.5,2,7500.0
53,1st Phase JP Nagar,1200.0,2.0,86.0,2,7166.666666666667
54,1st Phase JP Nagar,1394.0,2.0,85.0,2,6097.5609756097565
55,1st Phase JP Nagar,2077.0,3.0,175.0,3,8425.613866153106
57,1st Phase JP Nagar,1205.0,2.0,85.0,2,7053.941908713693
59,1st Phase JP Nagar,900.0,2.0,75.0,2,8333.333333333334
60,1st Stage Indira Nagar,1400.0,2.0,67.0,2,4785.714285714285
61,1st Stage Indira Nagar,1200.0,2.0,55.0,2,4583.333333333333
62,1st Stage Indira Nagar,940.0,2.0,56.0,2,5957.446808510638
63,1st Stage Indira Nagar,3000.0,4.0,301.0,4,10033.333333333334
64,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.081081081081
65,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.081081081081
66,2nd Block Hrbr Layout,1550.0,3.0,110.0,3,7096.774193548387
67,2nd Block Hrbr Layout,1350.0,4.0,235.0,4,17407.40740740741
68,2nd Block Jayanagar,1718.0,3.0,223.0,3,12980.209545983702
69,2nd Block Jayanagar,1000.0,2.0,97.0,2,9700.0
70,2nd Phase JP Nagar,2800.0,4.0,200.0,5,7142.857142857143
71,2nd Phase JP Nagar,1000.0,1.0,55.0,2,5500.0
72,2nd Phase JP Nagar,1040.0,2.0,78.0,2,7500.0
73,2nd Phase JP Nagar,850.0,2.0,42.5,2,5000.0
74,2nd Phase Judicial Layout,1450.0,2.0,50.75,3,3500.0
75,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
76,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
77,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
78,2nd Phase Judicial Layout,900.0,2.0,41.0,2,4555.555555555556
79,2nd Phase Judicial Layout,1681.0,3.0,69.0,3,4104.699583581201
80,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
81,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
82,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4,10833.333333333334
83,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,14666.666666666666
86,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4,14814.814814814816
87,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4,18750.0
88,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4,15333.333333333334
90,3rd Block Banashankari,1200.0,4.0,175.0,4,14583.333333333334
91,3rd Block Banashankari,2400.0,4.0,325.0,5,13541.666666666666
92,3rd Block Hrbr Layout,1056.0,2.0,80.0,2,7575.757575757576
93,3rd Block Hrbr Layout,1320.0,2.0,90.0,2,6818.181818181818
94,3rd Block Hrbr Layout,1300.0,2.0,95.0,2,7307.692307692308
95,3rd Block Hrbr Layout,1650.0,3.0,140.0,3,8484.848484848484
96,3rd Block Jayanagar,2150.0,3.0,240.0,3,11162.790697674418
97,3rd Block Koramangala,2100.0,3.0,270.0,3,12857.142857142857
98,3rd Phase JP Nagar,4500.0,4.0,345.0,4,7666.666666666667
99,4th Block Jayanagar,900.0,2.0,70.0,2,7777.777777777777
100,4th Block Jayanagar,2005.0,3.0,240.0,3,11970.074812967581
101,4th Block Jayanagar,1567.2,2.0,190.0,3,12123.532414497193
102,4th Block Koramangala,1225.0,2.0,150.0,2,12244.897959183674
103,4th Block Koramangala,4500.0,9.0,500.0,9,11111.111111111111
104,4th Block Koramangala,1800.0,3.0,140.0,3,7777.777777777777
106,4th Block Koramangala,1269.0,2.0,97.0,2,7643.81402679275
107,4th Phase JP Nagar,1070.0,2.0,38.9,2,3635.5140186915887
108,4th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
110,4th T block Jayanagar,2401.0,3.0,185.0,3,7705.12286547272
111,4th T block Jayanagar,3900.0,4.0,333.0,4,8538.461538461539
112,4th T block Jayanagar,1550.0,4.0,120.0,4,7741.935483870968
113,4th T block Jayanagar,2100.0,3.0,220.0,3,10476.190476190477
114,4th T block Jayanagar,2400.0,3.0,185.0,3,7708.333333333333
115,5th Block Hbr Layout,1206.0,2.0,56.0,2,4643.449419568822
116,5th Block Hbr Layout,1270.0,2.0,70.0,3,5511.811023622047
117,5th Block Hbr Layout,1312.0,2.0,69.0,2,5259.1463414634145
118,5th Block Hbr Layout,1100.0,2.0,48.0,2,4363.636363636364
119,5th Block Hbr Layout,3600.0,5.0,130.0,5,3611.1111111111113
120,5th Block Hbr Layout,5100.0,5.0,300.0,6,5882.35294117647
121,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
122,5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.217391304348
123,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
124,5th Phase JP Nagar,1207.0,2.0,63.0,2,5219.552609776305
125,5th Phase JP Nagar,1725.0,2.0,100.0,3,5797.101449275362
126,5th Phase JP Nagar,1440.0,2.0,60.0,2,4166.666666666667
127,5th Phase JP Nagar,1700.0,2.0,100.0,3,5882.35294117647
129,5th Phase JP Nagar,2500.0,5.0,110.0,5,4400.0
130,5th Phase JP Nagar,600.0,1.0,30.0,1,5000.0
131,5th Phase JP Nagar,1390.0,2.0,65.0,2,4676.258992805755
132,5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
133,5th Phase JP Nagar,1000.0,2.0,48.0,2,4800.0
134,5th Phase JP Nagar,1350.0,2.0,75.0,3,5555.555555555556
135,5th Phase JP Nagar,552.0,1.0,23.5,1,4257.246376811594
136,5th Phase JP Nagar,1200.0,2.0,51.0,2,4250.0
140,5th Phase JP Nagar,1030.0,2.0,57.0,2,5533.980582524272
141,5th Phase JP Nagar,1200.0,2.0,68.0,2,5666.666666666667
142,5th Phase JP Nagar,1190.0,2.0,61.8,2,5193.27731092437
143,5th Phase JP Nagar,4000.0,5.0,170.0,5,4250.0
144,5th Phase JP Nagar,1080.0,2.0,53.0,2,4907.407407407408
145,5th Phase JP Nagar,1041.0,2.0,54.0,2,5187.319884726225
146,5th Phase JP Nagar,812.0,2.0,42.0,2,5172.413793103448
147,5th Phase JP Nagar,1010.0,2.0,57.0,2,5643.564356435643
149,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
150,5th Stage BEML Layout,2000.0,3.0,85.0,3,4250.0
151,5th Stage BEML Layout,2000.0,3.0,85.0,3,4250.0
152,6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
153,6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.661016949152
154,6th Phase JP Nagar,3245.0,4.0,250.0,4,7704.160246533128
155,6th Phase JP Nagar,1645.0,3.0,100.0,3,6079.0273556231
156,6th Phase JP Nagar,1140.0,2.0,65.0,2,5701.754385964912
157,6th Phase JP Nagar,2040.0,3.0,200.0,3,9803.921568627451
158,6th Phase JP Nagar,1213.0,2.0,63.0,2,5193.734542456719
159,6th Phase JP Nagar,1216.0,2.0,60.0,2,4934.210526315789
160,6th Phase JP Nagar,1460.0,2.0,80.0,2,5479.45205479452
161,6th Phase JP Nagar,2003.0,3.0,200.0,3,9985.022466300548
162,6th Phase JP Nagar,1810.0,3.0,131.0,3,7237.5690607734805
163,6th Phase JP Nagar,1515.0,2.0,135.0,3,8910.89108910891
164,6th Phase JP Nagar,1192.0,2.0,75.0,2,6291.946308724832
165,6th Phase JP Nagar,1280.0,2.0,88.0,2,6875.0
166,6th block Koramangala,1117.0,2.0,110.0,2,9847.806624888093
167,6th block Koramangala,3000.0,3.0,400.0,3,13333.333333333334
168,7th Block Jayanagar,3000.0,3.0,528.0,5,17600.0
169,7th Block Jayanagar,2400.0,3.0,408.0,3,17000.0
170,7th Block Jayanagar,1903.0,2.0,293.0,3,15396.741986337362
171,7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
172,7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
173,7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
174,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
175,7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
176,7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
177,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
178,7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.011235955056
179,7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9047619047615
180,7th Phase JP Nagar,1100.0,2.0,46.0,2,4181.818181818182
181,7th Phase JP Nagar,918.0,2.0,50.49,2,5500.0
182,7th Phase JP Nagar,1450.0,2.0,100.0,3,6896.551724137931
183,7th Phase JP Nagar,1190.0,2.0,49.98,2,4200.0
184,7th Phase JP Nagar,1420.0,2.0,96.0,3,6760.56338028169
185,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
186,7th Phase JP Nagar,980.0,2.0,69.0,2,7040.816326530612
187,7th Phase JP Nagar,1180.0,2.0,72.0,2,6101.6949152542375
191,7th Phase JP Nagar,1400.0,3.0,115.0,3,8214.285714285714
192,7th Phase JP Nagar,1270.0,2.0,83.0,2,6535.433070866142
194,7th Phase JP Nagar,2503.0,4.0,188.0,4,7510.986815821015
195,7th Phase JP Nagar,2200.0,3.0,190.0,3,8636.363636363636
198,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
199,7th Phase JP Nagar,1850.0,3.0,140.0,3,7567.5675675675675
200,7th Phase JP Nagar,1575.0,2.0,120.0,3,7619.047619047619
201,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
202,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
203,7th Phase JP Nagar,1175.0,2.0,82.5,2,7021.276595744681
206,7th Phase JP Nagar,1215.0,2.0,90.0,2,7407.407407407408
207,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
208,7th Phase JP Nagar,1300.0,3.0,89.13,3,6856.153846153846
209,7th Phase JP Nagar,1130.0,2.0,73.0,2,6460.1769911504425
210,7th Phase JP Nagar,1450.0,3.0,100.0,3,6896.551724137931
212,7th Phase JP Nagar,1050.0,2.0,50.0,2,4761.9047619047615
213,7th Phase JP Nagar,1275.0,2.0,87.0,2,6823.529411764706
215,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
216,7th Phase JP Nagar,850.0,2.0,42.0,2,4941.176470588235
217,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
218,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
219,7th Phase JP Nagar,1236.0,2.0,61.33,2,4961.974110032363
220,7th Phase JP Nagar,1000.0,2.0,53.0,2,5300.0
221,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
222,7th Phase JP Nagar,1675.0,2.0,135.0,3,8059.701492537313
223,7th Phase JP Nagar,1187.0,2.0,59.0,2,4970.513900589722
224,7th Phase JP Nagar,1850.0,3.0,155.0,3,8378.378378378378
225,7th Phase JP Nagar,1000.0,2.0,61.0,2,6100.0
226,7th Phase JP Nagar,1460.0,2.0,100.0,3,6849.315068493151
227,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
228,7th Phase JP Nagar,1200.0,2.0,62.5,2,5208.333333333333
229,7th Phase JP Nagar,1000.0,2.0,70.65,2,7065.000000000001
230,7th Phase JP Nagar,1080.0,2.0,75.0,2,6944.444444444444
232,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
233,7th Phase JP Nagar,1460.0,2.0,97.0,3,6643.835616438356
234,7th Phase JP Nagar,1120.0,2.0,65.0,2,5803.571428571428
235,7th Phase JP Nagar,1100.0,3.0,60.0,2,5454.545454545455
236,7th Phase JP Nagar,1790.0,3.0,120.0,3,6703.91061452514
237,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
238,7th Phase JP Nagar,1050.0,2.0,77.0,2,7333.333333333333
239,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
240,7th Phase JP Nagar,1040.0,2.0,75.0,2,7211.538461538462
241,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
242,7th Phase JP Nagar,1800.0,3.0,130.0,3,7222.222222222223
243,7th Phase JP Nagar,1050.0,2.0,68.0,2,6476.190476190476
244,7th Phase JP Nagar,1000.0,2.0,60.0,2,6000.0
245,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
246,7th Phase JP Nagar,1050.0,2.0,77.47,2,7378.0952380952385
247,7th Phase JP Nagar,1270.0,2.0,80.0,2,6299.212598425197
249,7th Phase JP Nagar,1680.0,3.0,122.0,3,7261.9047619047615
250,7th Phase JP Nagar,1130.0,2.0,85.0,2,7522.123893805309
251,7th Phase JP Nagar,1680.0,3.0,130.0,3,7738.0952380952385
252,7th Phase JP Nagar,980.0,2.0,77.44,2,7902.040816326531
253,7th Phase JP Nagar,1680.0,3.0,112.0,3,6666.666666666667
255,7th Phase JP Nagar,2095.0,3.0,150.0,3,7159.904534606205
256,7th Phase JP Nagar,1976.0,3.0,145.0,3,7338.056680161943
257,7th Phase JP Nagar,1600.0,2.0,110.0,3,6875.0
258,7th Phase JP Nagar,1765.0,3.0,118.0,3,6685.552407932011
259,7th Phase JP Nagar,1275.0,2.0,88.0,3,6901.9607843137255
260,7th Phase JP Nagar,1450.0,2.0,102.0,3,7034.482758620689
261,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
263,7th Phase JP Nagar,750.0,1.0,47.0,1,6266.666666666667
264,7th Phase JP Nagar,990.0,2.0,50.0,2,5050.50505050505
